Ethylpropionate;6-Methyl-5-hepten-2-on;Benzaldehyde;1-Hexanol;Isopentylacetate;Geranylacetat;1-pentanol;Ethyl-3-hydroxybutyrate;Butanal;Furfural;Methylbutyrate;Hexylacetat;1-Propanol;Methylbenzoat;Methylhexanoate;E2-Hexenal;Propionaldehyde;Z3-Hexenol;(-) Ethyl L lactate;Valeraldehyde;3-Methylthiol-1-Propanol;Linalool oxide;E2 Hexenylacetate;Isobutylacetat;2-pentanone;Butylacetate;cis-2-Hexen-1-ol;E2 Hexenol;Acrolein;Propylacetate;Phenylethylacetat;Hexanal;Pentylacetat;2-Heptanone;Butyric acid;Linalool;Ethylbenzoate;Methanol;Linoleic acid;23-butanediole;3-Methyl-2-buten-1-ol;Nerol;Aceton;Diethylsuccinate;2-3 Butanedione;Ethylhexanoate;Acetaldehyde;Phenylacetaldehyd;beta-Citrollenol;4-Ethylguaiacol;Glycerol ;Isopentanoic acid;Ethylformate;Cadaverine;14-Diaminobutane;1-Octen-3-ol;b-Pinene;(-)-trans-Caryophyllene;Limonene;Methanoic acid;Alpha Terpineol;Acetic acid;Ethyl-Decanoate;beta-Myrcene;Butyrolacton;Methylsalicylat;Hexanoic acid;Pentanoic acid;1-Penten-3-ol;Ethylhexanoic acid;Hexyl hexanoate;Lactic acid;Geraniol;2-Butanone;Ethylacetate;Heptanoic acid;Ammonium hydroxide;Ethyl octanoate;E3 Hexanol;Propionic acid;Phenylethyl alcohol;Pyruvic acid ;1-Butanol;Octanoic acid;Dimethyl sulfide;(1S)-(+)-3-carene;p-Cymene;Methyloctanoate;Gammaoctalacton;2-Pentanol;Hexylbutyrate;gamma-Hexalactone;Eugenol;3-Methylbutanol;Methylacetat;Ethyl cinnamate;Ethylbutyrate;Terpinolen;Acetophenone
168;46;12;73;96;10;109;146;51;34;174;16;33;32;58;84;15;79;93;12;37;14;7;177;75;138;173;89;11;174;2;44;89;71;20;1;6;14;34;69;53;9;11;4;110;4;8;8;7;3;5;9;9;12;1;44;9;8;6;8;6;10;7;7;19;12;7;7;103;45;-1;6;6;25;132;20;3;3;55;7;6;9;73;10;11;7;2;4;27;168;7;30;10;49;22;2;199;12;10
55;40;22;58;122;-2;62;76;20;6;148;201;16;38;210;37;12;52;29;28;200;25;59;183;74;205;30;31;8;214;24;46;241;209;17;20;27;13;22;25;19;0;3;36;2;138;55;27;-1;-2;2;11;-3;-8;-9;90;-4;5;25;-1;12;2;-3;-2;6;-6;9;14;39;21;-1;14;1;16;86;1;16;18;28;7;9;16;24;5;-2;5;12;58;17;77;17;24;0;24;25;-1;74;8;38
-23;6;-18;-35;-38;-1;-31;-35;-26;-19;-25;-37;-18;-4;-33;18;-40;-29;-28;-22;-26;-9;-32;-28;-31;-38;-34;-33;-16;-34;-15;-21;-24;-10;-27;-14;-11;-21;-20;7;-25;-7;-6;-16;-11;-31;-38;-17;-6;-5;-1;-15;-11;-16;-25;-30;2;-6;-5;-20;-8;-21;-3;-1;9;6;-24;-22;-35;-16;4;-21;-7;-15;-7;-7;-8;-7;-34;-22;-20;-20;-25;-11;-8;-2;-2;-26;-19;-33;-17;-36;-4;-33;-21;-1;-16;-6;-6
-5;-5;101;31;11;-4;44;42;-7;-4;20;-3;1;19;12;6;-8;37;34;-8;-1;-12;6;-3;3;19;20;41;-3;11;7;-4;8;21;8;-8;-6;9;-1;6;35;7;-3;-3;-5;-2;-1;79;-5;-2;0;6;3;-2;-7;15;1;-7;5;3;-3;5;-2;-3;-1;48;7;2;32;-1;-1;4;-2;3;15;-4;4;-6;29;9;45;1;26;-1;-10;-6;3;4;-3;32;0;-1;-6;20;-5;3;-3;2;79
99;0;6;35;46;37;55;35;9;50;136;39;12;-2;2;3;12;42;133;11;31;18;45;44;60;48;26;20;19;66;34;17;65;25;34;-8;-5;18;9;97;26;-8;130;-9;10;-8;62;7;-2;6;-4;28;27;7;2;15;-4;12;-5;25;-8;24;3;-5;16;-4;29;24;39;21;7;16;1;144;177;16;5;-2;32;24;2;20;44;5;64;-4;-1;-8;0;39;2;18;21;25;269;-2;39;12;5
4;49;-10;7;10;-7;1;39;-4;-1;3;42;-5;-2;19;-2;-7;-6;31;1;-2;3;36;4;12;23;-6;4;2;2;17;13;34;35;9;2;-6;3;8;8;4;5;-7;5;-6;7;13;3;-1;-8;-3;3;3;-1;-2;16;-6;-1;-3;2;4;4;-4;-1;6;-13;7;2;-1;3;-2;2;-2;-2;0;-1;3;7;7;8;-6;8;-2;-1;-6;-3;-8;22;20;8;8;18;-7;-1;-3;2;-8;-4;12
11;234;200;173;129;7;148;96;62;182;115;50;16;208;87;117;5;116;39;45;51;35;73;31;70;164;105;109;21;75;185;29;216;170;132;84;198;3;-1;84;215;14;27;175;13;143;12;153;6;4;-2;46;-2;-8;-4;164;-6;-6;2;5;19;-5;-7;37;125;35;20;207;8;-4;-3;3;49;67;43;1;16;-10;160;49;236;5;65;-9;1;2;-2;-7;25;33;62;47;7;67;7;75;167;34;184
47;16;6;109;48;-3;126;89;21;36;75;2;48;10;21;47;15;111;288;20;46;22;12;73;60;45;99;142;5;63;1;15;17;36;16;7;-4;20;-4;42;95;13;-5;7;35;-3;47;17;19;31;-1;15;1;14;6;24;6;8;11;12;18;6;-3;12;20;-2;12;11;109;8;-4;21;23;21;29;-3;10;1;102;18;67;11;72;2;2;11;8;2;16;98;6;40;-3;81;7;-1;112;15;35
18;61;-10;58;39;241;55;5;7;39;25;24;17;31;18;-6;-15;34;42;10;30;27;28;29;32;36;37;16;-5;15;19;8;21;32;7;12;-4;3;-7;20;42;1;-4;32;24;10;10;9;5;-7;-4;24;-2;-2;-4;34;-2;-1;2;-8;3;10;-4;-7;-7;-5;19;25;45;-6;-3;-5;29;17;17;-5;2;5;34;7;25;-8;38;-7;2;-5;-12;16;20;60;10;5;-1;58;15;-1;27;-5;-16
44;-7;7;137;-16;-1;47;210;5;-2;3;-9;0;4;-16;11;15;87;39;-2;25;9;0;-23;-8;-11;9;68;19;-13;-8;20;30;33;-10;-16;-14;14;2;40;11;-2;-5;-12;13;-22;35;10;8;-6;1;1;1;-11;-13;40;3;1;3;-9;-12;1;-20;3;-8;2;-11;-3;20;-1;5;-11;-4;1;65;1;-6;-8;149;-6;3;-9;2;-5;-8;8;-1;-12;-13;45;40;-3;-4;-15;-10;-7;125;-6;-25
57;257;37;183;231;-2;169;235;53;61;78;34;47;29;228;145;52;195;77;54;46;33;47;133;115;249;149;254;36;163;28;224;190;190;39;51;14;17;58;71;25;42;28;35;16;89;37;39;41;39;-1;20;22;29;24;180;34;34;47;14;51;27;28;21;47;-8;40;30;21;99;17;15;41;39;18;37;15;39;241;41;20;23;44;68;32;16;17;62;174;144;97;53;34;24;29;35;102;36;22
26;34;49;64;27;-2;56;72;18;59;30;2;22;46;33;35;8;55;77;26;42;44;11;39;52;56;50;63;2;48;7;43;35;40;21;4;21;6;7;14;37;5;18;12;9;10;24;20;-5;14;2;14;8;16;8;31;1;5;1;7;-2;11;-2;2;23;5;21;11;40;16;9;10;1;41;12;5;17;1;71;15;8;10;28;7;21;4;4;1;31;58;1;54;12;41;12;-11;26;5;84
-5;-15;-3;16;-1;1;8;-22;-3;-12;8;3;-6;-9;-27;-8;-9;-16;-7;-2;2;4;-2;7;-19;0;-12;-8;4;11;-4;-9;9;19;-2;-2;-5;-8;-9;11;7;7;-9;5;0;-11;5;0;7;-1;8;-3;-5;0;-6;-16;2;0;2;0;7;-5;-5;7;2;-7;-5;-7;-6;-12;3;-3;7;-14;5;-3;0;-5;-17;-7;4;3;0;1;-6;4;5;-8;-16;5;-7;3;-3;4;14;4;-9;6;-12
41;232;30;158;248;81;75;188;26;33;69;78;-9;226;188;28;11;138;66;27;28;36;203;208;11;227;92;214;22;154;24;29;191;189;11;140;273;5;-5;34;194;65;-1;4;8;55;18;27;50;1;-2;5;16;21;17;197;-3;-4;30;4;11;19;12;20;29;8;13;-9;-6;4;5;13;89;4;23;-2;24;22;137;11;-8;1;-7;-5;-11;-7;-9;23;101;81;28;24;50;14;4;7;81;81;29
